YEAR,WATER SPREADING,INJECTION,PUMPING,RECHARGE,SPECIFIC STORAGE,SPECIFIC YIELD,DRAINS,GHB OCEAN,GHB OC,GHB WHT,GHB LAN,Los Angeles Forebay_to_Hollywood,Los Angeles Forebay_to_WRD Los Angeles Forebay,Los Angeles Forebay_to_Central Basin,WRD Central Basin_to_Orange County,WRD Central Basin_to_West Coast,WRD Central Basin_to_Santa Monica,WRD Central Basin_to_WRD Los Angeles Forebay,WRD Central Basin_to_Montebello Forebay,WRD Central Basin_to_Whitter,WRD Central Basin_to_Central Basin,WRD Central Basin_to_North Orange County,WRD Central Basin_to_South Orange County,Orange County_to_North Orange County,Orange County_to_South Orange County,Santa Monica Bay_to_West Coast,Santa Monica Bay_to_Santa Monica,San Pedro Bay_to_West Coast,San Pedro Bay_to_South Orange County,West Coast_to_Santa Monica,West Coast_to_South Orange County,Santa Monica_to_Hollywood,Santa Monica_to_Central Basin,Hollywood_to_Central Basin,WRD Los Angeles Forebay_to_Montebello Forebay,Montebello Forebay_to_Whitter,Whitter_to_North Orange County
1971,115422.29588901087,0.0,-351833.0600976276,27196.33473399215,3701.7084901536496,113824.85027339474,-6001.907423261683,5359.682583568524,46921.87403160955,39650.10458381375,5758.153972995078,26.90563210403559,-10620.768954698991,-641.4593811741128,-139.01850512898272,-7355.716389377238,4.212047686235041,-5747.393502663868,126682.00205033191,5119.381325557961,2750.0910733338974,1298.4793690086874,6852.72703482527,1930.9477158459904,-5368.895580881517,-114.34724460098482,561.3610522932261,-6054.739826107088,314.9707799081624,3647.577490758182,457.98893994258754,74.21672178984926,-1150.9540850765375,-1074.2468442459563,2481.3330630646815,6941.162619719724,2714.2090042103605
1972,57001.14613330703,0.0,-297620.53446121205,17405.63878526816,6813.864927410482,130770.88450777579,-4598.143718950917,5986.260435226355,33951.75190883102,45060.38353775796,5228.975553560815,14.38806055380308,-8437.269363849698,-147.322777548706,-5977.707984635901,-6089.829467310811,1.9378929626533687,-2559.5799339403316,105975.4323731205,5142.530825472973,2175.851194525585,1230.7501154782726,2774.2334561100765,1193.2167110152743,-2126.1565188248933,-236.04769351294348,403.5170736316835,-5858.684669300457,-205.37308844961603,3238.2891187024193,321.7459464762921,65.06493800265963,-988.517924509575,-863.3887797022783,2227.029888523974,7940.258764878067,2967.8792307975536
1973,156694.40178760252,0.0,-284472.0027783798,71373.85604195113,1268.4922531467487,-13736.44083478015,-5249.340963297371,6477.039437789523,25554.206192635418,36925.10992119677,5164.890634993527,8.064479408902177,-8899.10669870993,-550.0155355923724,-10596.318298597003,-5683.048907916005,0.568345453928726,-3951.9399574710087,122345.8786700544,4942.662554748498,2253.616016210013,1137.3961797998418,1322.9278429468263,873.4143794756798,92.11614870555258,-247.06161665657078,378.71673338500216,-5500.12847765448,-890.7619843940189,2953.2800173899236,209.78993239237212,54.06120220011248,-805.4690805137047,-697.5924775315277,2270.779366060753,449.30639699030763,2895.014995980056
1974,122413.31374886615,0.0,-288725.61452667916,48160.09208326938,1958.1765551858819,39168.45872610568,-4573.773563091291,6606.372882649684,30644.106170072642,39129.41138915815,5219.787480960693,10.315466984546847,-8809.0849940327,-160.34984157964956,-10996.216951095976,-5181.074519161812,0.28271779948011144,-6227.275249427694,127400.52376015144,4920.811685665686,2417.629851539557,1024.975628959865,1325.15113242376,690.566978788953,1475.9243907095242,-251.00969725814915,348.6684163987177,-5381.579521279598,-1107.8591429537491,2522.1969970685914,184.42980189482248,57.03565231966064,-711.1984396794896,-599.2652453070234,2371.2943328102783,2163.910029214587,2941.6274122903164
1975,108777.2788215049,0.0,-296820.7348471724,34033.3274623825,3333.6616056362004,52766.81311852923,-3628.2021807414526,6555.532879745987,49883.722413239986,39769.599397639395,5329.344512949148,8.659477163039812,-8816.371261198654,278.2805910373196,-5656.322928735197,-5020.587157194839,2.113321044628645,-5113.403542535429,121672.62240245538,4731.510940710999,2967.9039180436466,942.9008232292401,3557.3946841496254,561.6986936732408,-1307.9058313840724,-276.0099601281799,304.8302722858418,-5698.56824304542,-711.1153454343196,2395.635644531852,294.16795520987034,142.5024161100462,-621.592391916385,-553.0146020985354,2503.27265655846,2692.7505823751644,3089.7717922584807
1976,70980.18199495939,0.0,-296471.3572991022,12610.92002945572,6037.237989608469,102728.2716986641,-2629.883666664112,7266.622097968303,51569.280073678136,42508.3664418751,5400.493096554581,10.866635555076211,-8773.51483428087,607.2630365917056,-3738.5321037893013,-4261.846868593598,3.573776209615316,-4857.485737003738,109459.02500616341,4730.876327104083,2830.1166758688896,966.8748540941795,2853.177509446729,492.693607948518,-870.664703915469,-276.43354922723137,247.75458466216418,-6649.481383739905,-851.029880228167,2250.9760346280327,308.065250225191,267.48996794831646,-610.904204438695,-553.7645436041705,2357.2856467385577,5755.466129959409,3042.5435892536907
1977,81260.208287191,0.0,-288009.29668236146,18315.778142174397,4576.047316215004,85703.95989022542,-2850.2297060061655,7528.344599325841,49037.47742541567,39043.723134251966,5393.994803468344,10.872286038994027,-9024.461126736514,743.7911326129444,-3175.16764140503,-3929.427266428379,4.269136416977858,-3776.534642731443,99462.60254649866,4585.646038050385,3043.005161082233,927.4668550795401,2015.05845478313,446.9957196123084,1115.3086239069003,-256.80712635401534,224.4799197109836,-6334.872440375929,-1062.2176888553893,2015.5721594077265,268.3970560561371,379.1216418455906,-583.3898360897733,-587.4994551304824,2059.5841589488105,4922.37539356114,3016.525450262105
1978,222090.56936920487,0.0,-260558.22198891488,192785.9590528798,-8190.437810085635,-220833.00678916188,-10097.720615259987,6793.457318601415,44581.69169523529,28547.263369571232,4880.544674385625,-3.335173179889979,-10399.834428271553,-1186.928047076238,-2284.0475656758945,-5442.318324962211,-0.7409332359962237,-8135.447015162204,131508.71862967842,4319.716345043495,3035.0636122546393,883.9650888786272,3176.1517088899263,514.6142294462044,-7.076362839810507,-280.07968813430455,330.3233830063421,-5527.09506161475,-650.6165702138453,2675.338225640451,222.0753373966713,273.3612848806517,-472.5941918817864,-609.0668165366885,2481.120426087072,-5752.965971773197,2659.5246940394118
1979,137258.3519446205,0.0,-290827.26245711127,103854.13718250526,-1356.3979029571292,-45457.49947510431,-5708.398487097654,6168.638119445902,57842.1699689596,33134.29152543963,5092.137751651388,-1.4011311959191515,-10301.105928788338,-184.81579313049514,1798.2883176635157,-5502.516606217019,-0.6928641597169802,-7781.369273883991,130891.98343422715,4413.789140479052,2613.723907532991,926.995264137758,4073.6763242415773,506.96013749468705,818.9786406983472,-293.53719238616657,253.58571519453312,-5554.173165730397,-305.6466355851912,2647.782872645862,281.62096204612544,360.5745327085908,-403.6974467224537,-572.3097210313824,3098.5941107288004,721.9345050498321,2884.879017245258
1980,153727.39414073908,0.0,-285073.2222002739,159377.53262541952,-5531.072923802302,-114832.55861104817,-9509.951814753265,5844.016792603127,56726.13936934763,34343.3754317823,4928.528763369832,-6.875790199872919,-10472.997385802231,-711.1087111069656,710.0999734167607,-5765.020020486232,-4.484683733758535,-9040.77580877882,134587.48340300127,4451.0683351938005,2342.453597856161,909.1969999821983,5131.3360145477445,576.2038285789599,-906.3183358284473,-242.47386173969983,308.9051979644415,-5966.296242165802,64.89404433586924,2444.391555718142,295.73463130234455,457.48453629615665,-341.58660332970135,-572.7293385651931,3250.8672871827544,-290.81894465559213,2742.9725625612427
