YEAR,WATER SPREADING,INJECTION,PUMPING,RECHARGE,STORAGE,DRAINS,GHB OCEAN,GHB OC,GHB WHT,GHB LAN
1971,115423.0658,35154.87941,-384994.7721,27192.13229,118345.0867,-12994.29762,7951.831005,44901.81837,43255.60786,5653.758776
1972,57001.32947,41945.91729,-338795.9554,17403.83651,133733.803,-5821.731407,8668.618533,31123.8638,48469.68918,6153.276066
1973,156695.1337,42257.17549,-326285.2824,71361.03085,-18446.08458,-5922.395101,9450.633178,24041.80581,41041.66072,5669.711145
1974,122413.7206,40984.33132,-329719.1376,48153.38882,34028.36369,-4682.820962,9778.636447,32067.46751,41164.03402,5667.236509
1975,108777.6588,38172.54307,-334455.4729,34033.73009,49907.00251,-3481.310566,9452.591388,49977.87058,41770.19945,5722.805448
1976,70980.5192,45666.39889,-343123.478,12610.74053,103948.3102,-2255.78383,10628.10826,50630.86906,44824.69156,5939.276762
1977,81260.06911,48661.2721,-336167.4098,18316.8146,82632.60767,-2836.455677,10976.52424,48727.81963,42421.27065,5856.421094
1978,222089.6882,40730.89613,-300326.1571,192752.1159,-241472.2306,-9308.443595,9031.881737,49387.40767,32489.13352,4566.582602
1979,137258.2968,36297.05833,-326740.8633,103845.0606,-50769.90365,-7271.544941,7916.433593,60312.76089,33986.02154,5052.157704
1980,153725.9824,38587.61773,-323186.4518,159352.4701,-124458.2135,-11047.09423,7242.435455,59555.70902,35556.31225,4607.461537
1981,126359.6381,35155.04376,-319137.9555,26834.28532,28842.6892,-6100.343832,8538.004572,53326.36724,40566.27828,5463.033265
1982,127489.6286,36199.76541,-321141.5564,34388.13418,23795.95094,-4445.902988,10062.89532,42938.33262,44869.7649,5711.888071
1983,144768.4463,47063.43508,-302236.2216,159685.7105,-148786.2066,-8042.355223,8636.116108,52951.72777,41281.21818,4560.417494
1984,103134.0656,40684.41636,-321073.5909,36076.07313,37950.43764,-5134.234981,7702.02923,52813.805,42086.34198,5663.701845
1985,87956.41007,32481.50752,-296214.3371,30832.87749,34903.70483,-3771.324924,7344.957052,56353.90339,45381.78439,4622.673239
1986,133500.4046,38292.43191,-306074.0329,70248.06529,-36105.74935,-4661.20567,6703.819227,49016.59545,42812.4385,6217.128506
1987,114849.8265,40865.9719,-306616.4423,15411.81022,48542.85566,-2706.159994,7583.551486,38045.83527,38109.28455,5791.13247
1988,106810.536,37767.89602,-300381.1896,23839.86155,41926.61165,-2275.080878,8067.188818,36911.17639,41347.55359,5857.457832
1989,109748.2804,32010.58201,-299743.2314,22264.22971,37226.24464,-1897.401054,8472.494067,41840.36917,44936.67885,5019.449556
1990,126607.405,33389.39591,-291988.2664,7117.301047,28535.36525,-1359.36781,8861.838394,43419.41172,38927.7891,6379.528209
1991,172970.8764,29807.19316,-299234.7376,25973.07459,-4123.872574,-5525.653849,8995.745144,40159.2511,25115.88278,5728.868272
1992,231749.8343,33519.20589,-307551.9945,80399.8411,-53683.78775,-61622.15294,8604.335108,48321.51693,14895.62809,5239.420746
1993,187232.5135,30195.80473,-240697.8852,158820.3106,-194977.5908,-20911.81517,6642.786235,48307.47903,20932.56286,4436.87439
1994,135172.6301,25440.57797,-269747.9256,22116.99569,4755.262817,-8268.648973,6038.460325,52992.6583,25898.38372,5560.278867
1995,145799.6413,21752.16735,-289005.6454,128028.3754,-83055.32609,-9627.082273,5251.711865,47159.35931,28769.08521,4849.982492
1996,144786.8128,29850.61073,-301537.7303,40007.56512,1959.655544,-4569.987687,5957.584313,46025.93899,32046.1258,5418.114396
1997,118336.8627,28906.9519,-303267.9129,67436.84052,5927.270564,-5945.759087,6265.172147,43791.34959,33147.07305,5347.03557
1998,127829.5233,23592.85934,-301324.3352,187702.7447,-109450.7736,-14542.95069,5433.193957,44496.49207,31696.73397,4485.202344
1999,76371.5224,28493.69847,-321496.7051,25119.3064,106453.8176,-6869.566413,6162.197525,41319.51269,38917.9337,5446.853748
2000,121815.9701,32127.12691,-318341.3663,30267.17121,42536.8591,-4909.346558,6635.304261,46459.38452,37793.20694,5524.082951
2001,122582.7355,30505.14443,-310931.8637,57364.40031,17340.69908,-6244.012973,7239.161581,44610.15673,32060.37446,5391.972664
2002,129273.9448,30808.64147,-306654.8389,9673.889902,61213.14568,-4735.394122,7155.819174,42675.92482,24812.0737,5684.962645
2003,95148.02324,28981.92728,-297521.647,27531.02412,61823.66145,-4495.349379,6688.213478,49307.37642,26860.86942,5600.570487
2004,136126.3878,22808.81416,-287724.0942,24370.54868,16625.9694,-3727.601302,6330.414922,46877.12299,32624.24382,5655.895705
2005,166577.6367,21380.06251,-274362.524,166408.1388,-149908.7378,-18451.21118,4233.794653,55227.40725,24598.68286,4226.808621
2006,144136.257,21710.86951,-273639.5351,30435.76353,-16956.93237,-6604.642094,3018.293331,60841.22024,31666.72023,5348.463879
2007,86340.59224,25243.19153,-316417.9663,7489.476322,102889.3844,-3603.670468,3375.150312,49771.23642,39137.47147,5673.259179
2008,98731.1517,28584.31693,-310217.7562,32710.87438,58834.37936,-4566.190955,4664.244459,49995.31722,35703.33995,5467.88506
2009,83554.96523,28607.28849,-303866.6964,18262.67092,76163.43334,-3664.130986,5388.228069,49031.01387,40720.84951,5713.307872
2010,154532.4994,30111.39789,-290271.0973,53225.02721,-44542.85816,-5485.94413,5145.17652,56144.41168,35550.52094,5529.27886
2011,152485.7659,26169.41961,-276953.5585,71614.97584,-72752.68052,-6701.805048,4351.217954,68456.85547,27770.59965,5541.561368
2012,82247.84985,26667.38342,-299267.3386,15781.08093,62004.55625,-2739.074294,4856.677701,66793.24075,37993.23941,5545.774745
2013,54885.67799,30201.30529,-312324.0164,11215.51634,99523.64226,-2110.882931,6104.745023,62272.68648,44753.86234,5353.694975
