FID,Row,Column_
7,61,209
95,75,201
106,66,205
149,68,211
613,72,213
642,71,218
721,72,221
904,71,205
1434,72,206
1478,67,208
1568,68,218
1629,60,199
1892,68,222
1913,61,214
1926,72,205
2013,75,213
2154,68,201
2168,75,220
2364,68,213
2390,60,221
2412,75,203
2422,69,214
2695,69,211
2788,74,214
2952,72,212
3041,67,199
3473,72,222
3592,75,214
3651,64,218
3723,61,199
3813,70,206
3923,73,211
4038,68,216
4041,66,210
4187,68,209
4266,60,222
4402,60,215
4613,65,216
4695,66,204
4767,65,212
4789,70,212
4944,60,205
5031,61,223
5148,72,220
5220,74,211
5349,64,209
5593,70,220
5668,60,224
5905,65,205
5953,61,217
6187,73,214
6325,63,223
6629,61,203
6655,74,216
6828,70,204
6847,62,224
7048,62,199
7055,73,208
7149,73,212
7163,73,216
7221,67,213
7401,64,205
7432,66,220
7601,65,204
7602,67,212
7685,62,215
7702,66,224
7749,65,207
7762,74,212
7832,69,219
8031,67,217
8104,62,216
8319,73,224
8383,61,218
8475,75,223
8546,70,224
8562,75,212
8617,73,222
8645,60,216
8783,68,207
8828,69,224
9096,62,201
9142,73,218
9568,71,200
9681,67,210
9689,60,208
9886,64,211
9892,75,199
10085,63,224
10137,73,213
10399,67,214
10432,63,207
10447,70,210
10592,75,210
10883,65,199
11008,71,213
11239,60,218
11242,63,211
11307,68,212
11704,74,218
11720,65,218
11834,67,215
12009,68,202
12075,61,205
12085,70,213
12110,75,219
12187,60,223
12255,67,204
12525,62,207
12543,64,204
12798,73,203
12901,70,215
12951,65,215
13014,74,200
13056,65,206
13170,70,199
13237,74,204
13316,69,217
13798,66,211
13943,68,205
13988,72,200
14008,69,210
14178,62,221
14235,64,219
14374,75,204
14474,72,224
14495,75,200
14545,71,201
14602,63,210
14678,65,200
14980,60,207
15053,63,222
15060,62,202
15259,69,209
15318,65,210
15327,63,202
15440,73,219
15516,71,207
15579,69,203
15908,70,200
15941,64,206
15983,61,210
15985,73,221
16024,65,219
16093,75,206
16105,70,218
16272,63,205
16460,69,221
16620,60,202
16894,62,211
17141,61,213
17148,64,217
17221,60,204
17281,72,201
17478,72,214
17580,66,219
17756,74,199
17786,63,213
17948,61,206
18088,66,209
18369,72,208
18397,73,207
18628,70,219
18651,71,204
18656,60,210
18708,68,208
18924,60,213
19172,67,216
19185,67,205
19787,67,221
19801,70,211
19805,67,223
19853,73,204
19886,66,202
19902,60,211
20163,71,206
20260,61,216
20620,73,200
20792,69,222
20858,61,204
20922,69,212
21087,69,201
21136,62,200
21163,62,220
21229,66,216
21326,72,207
21371,66,215
21447,60,209
21528,74,220
21601,70,208
21794,70,201
21795,70,209
21903,75,224
21907,72,203
21934,64,214
21938,72,215
21962,63,204
22022,66,223
22144,66,218
22178,70,222
22224,65,208
22297,61,211
22356,62,210
22388,74,202
22564,69,204
22682,75,209
22784,74,209
23038,62,213
23088,74,201
23240,72,209
23288,67,207
23407,74,223
23422,61,215
23613,65,201
23632,75,215
23690,65,221
23733,74,222
23882,61,219
23906,62,203
23982,62,209
23985,71,202
24004,72,211
24104,69,199
24134,64,199
24213,67,224
24281,64,222
24367,73,199
24368,71,216
24596,67,206
24600,74,215
24639,73,217
24664,75,222
24876,63,219
24924,70,207
24936,62,208
25170,62,214
25209,66,199
25414,64,215
25609,60,219
25700,68,199
25754,72,204
25952,69,206
26030,68,224
26053,73,215
26070,65,203
26147,72,202
26239,70,202
26251,71,214
26317,66,208
26354,72,217
26426,63,214
26486,74,203
26551,68,223
26656,60,220
26702,67,202
26767,71,209
26982,64,212
27026,68,219
27095,67,219
27124,73,206
27183,65,220
27239,62,206
27315,62,222
27394,63,201
27455,68,217
27467,71,220
27602,66,206
27617,64,203
27666,75,207
27686,70,214
27700,63,217
27756,75,208
27803,64,207
27850,72,210
27880,60,201
27924,69,215
28042,66,221
28241,67,220
28475,73,210
28489,67,203
28523,71,212
28615,62,212
28706,64,220
28802,61,200
28896,70,221
28962,74,205
29024,75,218
29069,67,222
29212,71,199
29280,71,221
29373,75,211
29404,61,212
29418,69,213
29469,65,217
29521,72,199
29559,69,208
29613,60,212
29749,69,205
29831,75,202
29889,63,209
30020,68,200
30024,62,223
30032,75,216
30064,72,218
30118,73,205
30496,63,203
30644,70,216
30665,63,206
30728,67,218
30817,69,220
30858,65,214
30933,69,207
30992,74,221
31006,60,200
31018,71,223
31055,66,213
31104,64,213
31109,69,200
31270,64,223
31341,74,206
31463,66,214
31575,74,213
31687,74,207
31737,61,208
31749,62,217
31760,68,204
31763,70,203
31773,65,209
31777,69,202
31795,65,202
31911,63,218
31972,64,208
32116,75,221
32134,65,211
32198,65,222
32233,65,224
32275,67,201
32344,71,208
32408,73,202
32439,73,223
32465,75,217
32590,71,219
32676,73,201
32803,64,201
32845,61,224
32875,62,219
33128,69,216
33187,65,213
33281,66,201
33308,71,215
33355,73,220
33541,60,217
33544,64,210
33556,71,210
33574,71,211
33706,63,216
33745,68,203
33755,68,221
33760,74,208
33791,70,223
33813,70,205
33827,75,205
33865,63,221
33866,68,206
33868,62,218
33871,66,203
33887,61,207
33892,61,201
33939,67,211
33971,66,200
34041,66,222
34045,71,224
34060,74,224
34156,68,210
34164,71,217
34258,64,221
34348,71,222
34418,74,210
34441,71,203
34446,60,214
34499,66,217
34525,73,209
34619,69,218
34738,68,220
34821,72,219
34828,74,219
34845,69,223
34874,74,217
34939,63,220
35052,68,215
35448,72,223
35457,67,200
35472,63,200
35575,70,217
35607,61,202
35640,66,207
35753,65,223
35787,72,216
35933,61,222
36114,63,208
36143,62,204
36161,62,205
36217,68,214
36286,64,224
36384,60,203
36480,60,206
36555,61,221
36626,67,209
36709,64,216
36744,63,199
36772,64,200
36783,66,212
36979,64,202
37011,63,215
37027,63,212
37470,61,220
