x,y
398356.3377,3762083.415
398361.5468,3762075.097
398320.158,3761973.038
398309.1242,3761942.604
398295.9904,3761893.687
398281.5703,3761843.806
398254.6473,3761741.445
398245.9514,3761698.261
398222.177,3761574.448
398214.6911,3761557.041
398207.5953,3761540.289
398176.4417,3761459.13
398134.1446,3761377.977
398111.9918,3761339.13
398094.8315,3761308.09
398089.4914,3761298.97
398039.1232,3761220.591
397984.8627,3761148.012
397976.685,3761137.971
397940.4564,3761077.045
397896.3458,3761005.383
397893.6757,3761001.11
397851.1104,3760941.187
397848.2392,3760936.816
397811.8064,3760874.923
397789.8121,3760836.305
397784.792,3760824.884
397773.2858,3760797.83
397762.5934,3760766.445
397752.9557,3760735.657
397752.1236,3760733.029
397742.2846,3760700.562
397732.4304,3760666.056
397722.5488,3760629.446
397712.0119,3760595.278
397701.6212,3760560.86
397694.0043,3760534.501
397692.5169,3760528.844
397691.8067,3760526.384
397682.9705,3760493.801
397674.302,3760458.036
397665.4933,3760419.22
397656.8918,3760377.124
397648.8848,3760333.342
397648.6379,3760331.422
397643.2063,3760288.567
397638.0583,3760246.806
397633.3247,3760204.906
397628.7923,3760163.922
397625.342,3760132.183
397623.946,3760124.115
397617.3501,3760087.381
397610.8274,3760053.033
397604.1493,3760021.129
397597.2303,3759990.049
397590.1559,3759960.142
397582.9931,3759931.573
397582.8529,3759931.027
397574.0442,3759901.916
397565.4244,3759870.503
397556.7071,3759838.917
397547.8862,3759807.87
397538.9647,3759777.658
397529.9457,3759748.422
397524.1179,3759729.869
397519.9635,3759717.817
397508.3811,3759684.81
397496.5701,3759652.004
397491.358,3759637.792
397491.294,3759637.627
397491.294,3759623.612
397491.291,3759592.855
397491.2879,3759553.527
397491.2849,3759528.71
397488.7916,3759520.066
397483.4515,3759501.253
397478.023,3759481.438
397472.5214,3759460.557
397466.91,3759439.068
397461.2956,3759416.613
397455.6812,3759393.08
397450.0607,3759368.394
397444.428,3759342.477
397441.2398,3759327.554
397437.2895,3759317.386
397428.4046,3759294.163
397419.599,3759270.672
397410.8664,3759246.876
397402.1918,3759222.755
397393.5568,3759197.715
397384.9798,3759172.097
397376.4606,3759146
397370.1848,3759126.395
397367.4903,3759120
397357.2003,3759095.242
397346.8158,3759070.547
397336.5166,3759045.708
397326.318,3759020.7
397316.2321,3758995.514
397306.2621,3758970.155
397296.6548,3758944.795
397290.2022,3758927.413
397289.1933,3758925.236
397285.6973,3758918.994
397271.0882,3758892.382
397256.851,3758865.678
397242.9582,3758838.853
397229.9372,3758811.579
397217.288,3758784.245
397204.9618,3758756.831
397192.9314,3758729.314
397190.6789,3758724.08
397179.953,3758703.119
397166.0816,3758677.129
397152.1766,3758650.675
397138.3356,3758623.816
397124.6074,3758596.592
397111.0286,3758569.02
397097.5534,3758541.152
397089.0434,3758523.257
397088.8452,3758522.922
397081.5727,3758513.159
397060.8402,3758485.078
397040.1321,3758456.609
397019.4667,3758427.763
396999.6729,3758399.438
396980.312,3758371.329
396961.2285,3758343.23
396946.8328,3758321.763
396941.7975,3758315.536
396920.5926,3758289.338
396898.9701,3758262.382
396887.8875,3758248.516
396874.3971,3758232.219
396844.8803,3758197.468
396812.1722,3758160.304
396775.9589,3758120.607
396775.9193,3758120.57
